 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.37000000e+01
 -2.03081237e+00 2.99896005e-01 -2.04074112e-02 2.84357106e-01 2.24661510e+04 1.36748933e+01
 -3.34000202e-01 5.97708709e-01 -1.08957633e+00 6.21058321e-01 -7.40150818e+03 1.36950832e+01
 8.11305404e+00 9.56215249e-01 8.93764107e-01 -3.11121308e-01 -2.02723817e+03 1.38130175e+01
 -1.28302727e+01 1.23128619e+00 6.60585919e-01 -4.99162063e-01 1.08805583e+04 1.35459406e+01
 -1.81055396e+00 -4.06138764e-01 5.20988893e-01 9.26578469e-01 2.67764854e+04 1.36755457e+01
 -1.05646353e+01 3.79761555e-01 -1.29460973e+00 -3.07039038e-01 -7.35897529e+03 1.35733739e+01
 -2.17334411e+00 -6.26123348e-01 -2.42257419e-01 2.98925033e-01 -4.07929969e+04 1.36597264e+01
 -3.72233427e+00 8.86588976e-02 5.15726741e-02 2.63534839e-01 -2.30078647e+04 1.36535690e+01
 -9.36991902e+00 2.83323078e-01 -1.33088878e+00 -2.81973627e-01 -1.18537590e+04 1.35757426e+01
 -1.11912019e+01 -4.70584085e-01 9.18566619e-03 5.69805989e-01 -2.99556540e+04 1.35314076e+01
 5.91775339e+00 6.97792401e-01 -1.33888833e+00 -4.19790118e-01 9.89000441e+03 1.37798661e+01
 1.96760736e+00 -3.85158479e-01 -1.59540731e-01 -8.47762935e-01 9.71125134e+03 1.37345282e+01
 -4.28299533e+00 -2.58543045e-01 -2.96422160e-02 -1.75107616e-01 -2.20538305e+02 1.36214296e+01
 -2.53580887e+00 3.06258507e-01 2.01706238e+00 -4.18928494e-01 1.52844019e+03 1.36557978e+01
 1.56039411e+00 2.81928567e-01 5.63782477e-01 -1.95261175e-01 1.84466186e+04 1.37307482e+01
 7.19479524e+00 -7.33410452e-02 -4.40472472e-01 8.64612248e-01 7.15985633e+03 1.37684178e+01
