 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.37000000e+01
 4.36548680e+00 -5.52825523e-02 6.79408100e-01 -7.23024215e-01 -3.19814475e+04 1.37576737e+01
 -8.65455570e+00 3.83879161e-01 5.09409747e-01 -5.28566396e-01 -2.06598182e+04 1.35595558e+01
 9.76579493e+00 -6.90931402e-01 6.02309887e-01 -1.43767936e-01 1.65970449e+04 1.38198009e+01
 -7.58347611e-01 -3.71225058e-01 1.19229404e+00 1.30700491e-01 6.82837762e+03 1.37205404e+01
 -9.21620712e+00 4.69341861e-01 6.25722412e-03 -2.06847907e-01 -2.07250378e+04 1.35741532e+01
 8.25546757e+00 -7.01114829e-01 4.36991653e-01 -4.18488766e-01 3.92761080e+04 1.38123624e+01
 -2.80406649e+01 8.89112536e-02 7.14911411e-01 -1.16921950e-01 8.84737228e+03 1.33207765e+01
 -7.63012631e+00 -3.01198096e-01 6.86635043e-01 -2.68261874e-01 -2.66970734e+04 1.35846528e+01
 1.77269349e+01 -4.41063737e-03 -1.39599157e+00 -4.69133463e-01 1.26268870e+04 1.39478111e+01
 1.52110242e+00 -4.50578036e-01 -2.04161614e-01 1.67063529e-01 -1.53813392e+03 1.37293326e+01
 -7.28751369e+00 -2.04648361e-01 2.10296540e-01 -1.57381354e-01 -2.71050768e+04 1.35922097e+01
 -5.19510242e-01 -4.98202136e-01 -4.76673938e-01 -1.81376846e-01 -1.48653984e+04 1.36966133e+01
 1.79452612e+00 2.63332539e-02 4.96648787e-01 3.01056922e-01 4.01508874e+04 1.37319463e+01
 -4.14893221e+00 -4.09408213e-01 1.46605218e+00 3.42634911e-01 1.47419201e+03 1.36426367e+01
 2.85888317e+01 7.80381569e-01 2.34617224e-01 -5.27194791e-01 2.70891313e+04 1.40864199e+01
 -1.51333929e+01 -1.47522783e-01 1.19717040e-01 -5.56181881e-01 1.70352701e+03 1.34946236e+01
 6.70638484e+00 -1.36746079e+00 5.62857750e-01 3.03412903e-01 -1.28005075e+04 1.37929300e+01
 -4.60484165e+00 -2.74970547e-02 1.24163935e+00 -5.35288205e-01 -4.17461313e+04 1.36295053e+01
 2.44740630e+00 3.73918022e-01 -1.22108279e-01 8.77131761e-01 8.79736971e+03 1.37362266e+01
 -2.13919881e+01 -2.17840949e-01 7.43449752e-01 -6.03199984e-01 -1.44046836e+03 1.33841095e+01
 -2.38002128e+01 9.50090620e-01 -1.21508335e-01 -3.82018037e-01 4.67060201e+03 1.33556607e+01
 2.28375817e+00 -3.44790939e-01 3.65293520e-01 -2.90279781e-01 1.33804928e+04 1.37405029e+01
 -8.23866381e-01 -4.90790339e-01 -5.26704721e-01 -1.40253083e-01 -2.19818872e+04 1.36619426e+01
 -1.57385940e+01 7.30962008e-01 1.61723361e+00 -2.36006008e-01 -5.79162859e+03 1.34607490e+01
 -1.73697635e+00 -1.70830735e-01 1.16567584e-01 -5.63757616e-01 -1.13443049e+04 1.36810991e+01
 2.40351119e+01 -1.54549385e-01 2.70826005e-02 2.00469438e-01 1.09692718e+04 1.40082314e+01
 -2.34066047e+01 4.18799393e-01 -8.52276528e-01 4.02371619e-01 -1.68054034e+04 1.33774259e+01
 -2.30648031e+01 3.76818515e-02 1.24773181e+00 1.20554321e-01 -1.93884490e+04 1.33744509e+01
 -1.94079103e+01 -7.96661584e-04 4.12249446e-01 2.03389357e-01 -3.35944051e+04 1.34147153e+01
 4.67415713e+00 -8.49873983e-01 -5.91437902e-01 4.34799145e-01 -2.25345416e+04 1.37539300e+01
 1.09076006e+01 1.71630938e-01 -4.14111244e-01 6.17808573e-01 -3.08814271e+04 1.38510108e+01
 -2.47361496e+00 -2.97256035e-01 8.91341545e-01 8.07357177e-02 -2.29605308e+04 1.36672050e+01
 1.21621999e+00 9.09173861e-01 6.87861273e-01 6.82528923e-02 1.29349038e+04 1.37343337e+01
 -4.52988258e+00 8.06780046e-01 -1.46694509e-01 3.90340975e-01 1.67397260e+04 1.36325999e+01
 -2.28454590e+01 -3.22739539e-01 -5.22195760e-01 -3.73993181e-01 2.53135877e+02 1.33755789e+01
 -1.16470284e+01 -4.53368718e-01 -3.41544051e-01 -3.66739324e-01 -1.37240164e+04 1.35229213e+01
 8.84954551e+00 -4.37619809e-01 1.21036636e+00 2.18914486e-01 5.52357983e+04 1.38102663e+01
 4.48101778e+00 7.91410606e-01 8.63403668e-01 4.70447895e-01 2.06129344e+04 1.37620621e+01
 -9.09741171e+00 1.77595034e+00 6.74038753e-01 -2.21416269e-01 -2.32233489e+04 1.35700970e+01
 4.49833940e+00 9.30404936e-01 -2.89569937e-01 8.62169074e-02 1.07523467e+04 1.37380365e+01
 -2.27483021e+00 -5.69437835e-01 -6.03018447e-01 -8.62144827e-02 4.64548743e+03 1.36602552e+01
 2.33888821e+01 2.35008953e-01 5.98902731e-02 -9.55920792e-02 3.15330883e+04 1.40112758e+01
 -5.83869466e+00 -3.36283682e-01 2.34405982e-01 5.52981590e-01 -6.21087239e+03 1.36505129e+01
 -4.16075184e+00 -5.43344412e-01 2.14306316e+00 -2.01700730e-01 3.16949584e+04 1.36710734e+01
 7.93216076e+00 -4.45126195e-01 -4.45918747e-01 8.63917268e-02 -1.38987963e+04 1.38136799e+01
